City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,papatowai,-46.5619,169.4708,10.25,72,72,5.97,NZ,2024-05-06
127,harper,4.375,-7.7169,27.05,84,98,1.54,LR,2024-05-06
128,martinsburg,39.4562,-77.9639,23.01,84,100,1.04,US,2024-05-06
129,arraial do cabo,-22.9661,-42.0278,23.98,83,0,4.63,BR,2024-05-06
130,mendoza,-32.8908,-68.8272,13.74,72,40,1.03,AR,2024-05-06
131,lodja,-3.4833,23.4333,23.06,65,9,0.86,CD,2024-05-06
132,lihue,21.9789,-159.3672,27.58,70,66,6.86,US,2024-05-06
133,usogorsk,63.4106,48.6872,-1.3,58,97,2.62,RU,2024-05-06
134,naberera,-4.2,36.9333,16.64,92,85,3.91,TZ,2024-05-06
135,goroka,-6.0834,145.3873,21.02,85,97,0.72,PG,2024-05-06
136,uturoa,-16.7333,-151.4333,27.81,80,57,9.21,PF,2024-05-06
137,stanley,54.868,-1.6985,10.29,95,100,2.06,GB,2024-05-06
138,robore,-18.3333,-59.75,34.05,52,11,5.14,BO,2024-05-06
139,sabang,5.8933,95.3214,29.27,75,96,4.35,ID,2024-05-06
140,pierre,44.3683,-100.351,19.51,75,100,12.86,US,2024-05-06
141,rahimah,26.7079,50.0619,27.12,69,86,4.77,SA,2024-05-06
142,kingston,17.997,-76.7936,30.53,74,20,9.77,JM,2024-05-06
143,tumayr,25.7039,45.868,25.73,19,0,3.5,SA,2024-05-06
144,punta umbria,37.1821,-6.9661,17.91,43,0,5.28,ES,2024-05-06
145,icheu,7.7067,6.7718,27.47,78,37,2.18,NG,2024-05-06
146,hami,42.8,93.45,23.25,24,0,7.22,CN,2024-05-06
147,natal,-5.795,-35.2094,27.36,89,20,2.57,BR,2024-05-06
148,maumere,-8.6199,122.2111,26.76,85,79,1.65,ID,2024-05-06
149,labrador city,52.9463,-66.9114,6.95,68,75,8.23,CA,2024-05-06
150,bikenibeu village,1.3673,173.1241,28.94,75,10,5.53,KI,2024-05-06
